Gene,Ensembl ID,Probe sets,Codewords,Tissues,Cell types
Cux2,ENSMUSG00000042589,8,1,Brain,granule cell layer neuron
Cxcr2,ENSMUSG00000026180,8,1,Lung,neutrophil
Cybb,ENSMUSG00000015340,8,1,Lung,intermediate monocyte
Cyp11a1,ENSMUSG00000032323,8,1,Bone Marrow;Lung,basophil;basophil
Cyp4b1,ENSMUSG00000028713,8,1,Lymph Node;Kidney,Marco+ medullary lymphatic endothelial cell;epithelial cell of proximal tubule
Dao,ENSMUSG00000042096,8,1,Kidney,kidney proximal straight tubule epithelial cell
Dbpht2,ENSMUSG00000029878,8,1,Pancreas,pancreatic PP cell
Dcdc2a,ENSMUSG00000035910,8,1,Pancreas,pancreatic ductal cell
Dcpp2,ENSMUSG00000096278,7,1,Trachea,basal epithelial cell of tracheobronchial tree
Des,ENSMUSG00000026208,8,1,Limb Muscle,skeletal muscle satellite cell
Dnase1l3,ENSMUSG00000025279,8,1,Liver,endothelial cell of hepatic sinusoid
Dpt,ENSMUSG00000026574,8,1,Adipose Tissue,mesenchymal stem cell of adipose tissue
Dsc3,ENSMUSG00000059898,8,1,Skin of Body,epidermal cell
Dynlrb2,ENSMUSG00000034467,6,1,Lung,ciliated columnar cell of tracheobronchial tree
Ecrg4,ENSMUSG00000026051,6,1,Mammary Gland,basal cell
Emb,ENSMUSG00000021728,8,1,Large Intestine,hematopoietic stem cell
Eng,ENSMUSG00000026814,8,1,Heart;Limb Muscle,endocardial cell;mesenchymal stem cell
Epcam,ENSMUSG00000045394,8,1,Mammary Gland;Lung;Lung,luminal epithelial cell of mammary gland;type II pneumocyte;club cell
Epsti1,ENSMUSG00000022014,8,1,Mammary Gland;Adipose Tissue;Kidney;Lung;Limb Muscle;Spleen;Skin of Body,T cell;T cell;T cell;T cell;T cell;T cell;T cell
Etv1,ENSMUSG00000004151,8,1,Pancreas,pancreatic A cell
F13a1,ENSMUSG00000039109,8,1,Heart;Pancreas;Bladder Lumen;Kidney,leukocyte;leukocyte;leukocyte;leukocyte
F3,ENSMUSG00000028128,8,1,Lung,club cell
Fam183b,ENSMUSG00000049154,5,1,Lung,ciliated columnar cell of tracheobronchial tree
Fam25c,ENSMUSG00000043681,2,1,Skin of Body,epidermal cell
Fbln5,ENSMUSG00000021186,8,1,Kidney,kidney cortex artery cell
Fcnb,ENSMUSG00000026835,8,1,Bone Marrow;Spleen,megakaryocyte-erythroid progenitor cell;megakaryocyte-erythroid progenitor cell
Fech,ENSMUSG00000024588,8,1,Heart,erythrocyte
Fibin,ENSMUSG00000074971,8,1,Lung,bronchial smooth muscle cell
Fmo5,ENSMUSG00000028088,8,1,Liver,duct epithelial cell
Folr2,ENSMUSG00000032725,8,1,Liver,Kupffer cell
Fxyd1,ENSMUSG00000036570,1,1,Heart,cardiac neuron
Fxyd3,ENSMUSG00000057092,8,1,Skin of Body,keratinocyte stem cell
Fxyd4,ENSMUSG00000004988,8,1,Kidney,kidney collecting duct principal cell
Fxyd6,ENSMUSG00000066705,8,1,Lymph Node;Lung,valve lymphatic endothelial cell;endothelial cell of lymphatic vessel
Gabrp,ENSMUSG00000020159,8,1,Lung,club cell
Gad1,ENSMUSG00000070880,8,1,Brain,GABAergic neuron
Gamt,ENSMUSG00000020150,3,1,Pancreas,pancreatic acinar cell
Gap43,ENSMUSG00000047261,8,1,Lung,pericyte
Gatm,ENSMUSG00000027199,8,1,Kidney;Skin of Body,kidney proximal straight tubule epithelial cell;dermal macrophage
Gc,ENSMUSG00000035540,8,1,Liver,hepatocyte
Gfap,ENSMUSG00000020932,8,1,Brain,astrocyte
Gjb4,ENSMUSG00000046623,8,1,Mammary Gland;Skin of Body,basal cell;basal cell of epidermis
Gm13889,ENSMUSG00000087006,3,1,Trachea,neuroendocrine cell
Gm94,ENSMUSG00000071858,7,1,Skin of Body,epidermal cell
Gng11,ENSMUSG00000032766,5,1,Lung,endothelial cell of lymphatic vessel
Gp2,ENSMUSG00000030954,8,1,Pancreas,pancreatic acinar cell
Gpa33,ENSMUSG00000000544,8,1,Large Intestine,enterocyte of epithelium of large intestine
Gpihbp1,ENSMUSG00000022579,8,1,Adipose Tissue,endothelial cell
Gpx2,ENSMUSG00000042808,8,1,Large Intestine,intestinal crypt stem cell
Gpx6,ENSMUSG00000004341,8,1,Kidney,kidney loop of Henle ascending limb epithelial cell
Gria2,ENSMUSG00000033981,8,1,Pancreas,pancreatic A cell
Guca2b,ENSMUSG00000032978,5,1,Kidney,epithelial cell of proximal tubule
Hap1,ENSMUSG00000006930,8,1,Pancreas,pancreatic D cell
Hc,ENSMUSG00000026874,8,1,Lung,type II pneumocyte
Hemgn,ENSMUSG00000028332,8,1,Bone Marrow;Adipose Tissue;Spleen;Large Intestine,erythroblast;erythroblast;erythroblast;hematopoietic stem cell large
Higd1b,ENSMUSG00000020928,3,1,Lung,pericyte
Hmbs,ENSMUSG00000032126,8,1,Bone Marrow;Adipose Tissue;Spleen,erythroblast;erythroblast;erythroblast
Hmgcs2,ENSMUSG00000027875,8,1,Large Intestine,epithelial cell of large intestine
Hp,ENSMUSG00000031722,5,1,Bone Marrow;Lung;Liver,promonocyte;endothelial cell of lymphatic vessel;hepatocyte
Hpgd,ENSMUSG00000031613,4,1,Lung;Lung;Limb Muscle,bronchial smooth muscle cell;bronchial smooth muscle cell;smooth muscle cell
Hpx,ENSMUSG00000030895,8,1,Liver,hepatocyte
Hrc,ENSMUSG00000038239,8,1,Heart,cardiac muscle cell
Hrg,ENSMUSG00000022877,8,1,Liver,hepatocyte
Hsd11b2,ENSMUSG00000031891,8,1,Kidney,kidney collecting duct principal cell
Hsd3b4,ENSMUSG00000095143,8,1,Kidney,brush cell
Htra3,ENSMUSG00000029096,8,1,Limb Muscle,mesenchymal cell
Ifitm6,ENSMUSG00000059108,8,1,Bone Marrow;Spleen;Trachea,granulocyte;granulocyte;granulocyte
Igfbp6,ENSMUSG00000023046,5,1,Lymph Node;Adipose Tissue,valve lymphatic endothelial cell;mesenchymal stem cell of adipose tissue
Il1r2,ENSMUSG00000026073,8,1,Tongue,Langerhans cell
Insm1,ENSMUSG00000068154,8,1,Pancreas,type B pancreatic cell
Isca1,ENSMUSG00000044792,8,1,Heart,erythrocyte
Isg20,ENSMUSG00000039236,3,1,Heart,erythrocyte
Itga8,ENSMUSG00000026768,8,1,Lung,fibroblast of lung
Ivl,ENSMUSG00000049128,8,1,Bladder Lumen;Skin of Body,bladder urothelial cell;stem cell of epidermis
Iyd,ENSMUSG00000019762,8,1,Adipose Tissue;Trachea;Large Intestine,epithelial cell;epithelial cell;epithelial cell of large intestine
Kcna1,ENSMUSG00000047976,8,1,Heart,cardiac neuron
Kcnj1,ENSMUSG00000041248,8,1,Kidney,kidney distal convoluted tubule epithelial cell
Kcnj16,ENSMUSG00000051497,8,1,Kidney,kidney collecting duct epithelial cell
Kdr,ENSMUSG00000062960,8,1,Kidney,kidney capillary endothelial cell
Kl,ENSMUSG00000058488,8,1,Kidney,kidney collecting duct epithelial cell
Klra8,ENSMUSG00000089727,8,1,Bone Marrow;Kidney;Liver;Lung;Spleen,natural killer cell;natural killer cell;natural killer cell;natural killer cell;natural killer cell
Kng2,ENSMUSG00000060459,8,1,Kidney,kidney loop of Henle thick ascending limb epithelial cell
Krt13,ENSMUSG00000044041,8,1,Tongue;Skin of Body,basal cell of epidermis;basal cell of epidermis
Krt16,ENSMUSG00000053797,8,1,Tongue,keratinocyte
Krt19,ENSMUSG00000020911,8,1,Lung,club cell
